,SRX1756756,SRX1756757,SRX1756758,SRX1756759,SRX1756760,SRX1756761,SRX2148419,SRX2148420,SRX2148421,SRX2148422,SRX219169,SRX219170,SRX347228,SRX347229,SRX345240,SRX345241,SRX345242,SRX345243,SRX2787771,SRX2787772,SRX1056790,SRX1056792,SRX1056794
0,8.461997e-05,6.279908e-05,4.381407e-05,-2.95965e-05,3.4887344e-06,2.142042e-05,4.887022e-05,4.922971e-05,8.532964e-05,6.278511e-05,8.689333e-05,5.687587e-05,4.2770058e-05,4.5330264e-05,6.1076134e-05,2.4926849e-05,6.9377944e-05,0.000105544925,5.7950616e-05,3.6776066e-05,2.092868e-05,8.353591e-05,0.00013793074
1,-1.6286504e-05,5.1726587e-05,-3.722869e-05,6.0380436e-05,-1.0068528e-05,-4.0854327e-05,-6.378675e-05,-6.374344e-05,-3.5569537e-05,-0.00013088156,7.600477e-05,-2.3500063e-05,7.556565e-05,-1.1248514e-05,-3.8963277e-05,2.790289e-05,-6.9369096e-05,-3.5204925e-05,1.24247745e-05,3.664056e-05,-2.3460016e-05,-9.4247516e-05,-4.952308e-06
2,4.591141e-05,-3.1273812e-06,5.712267e-05,-9.4187446e-05,-3.4057535e-05,1.4149584e-05,-0.000101861544,-5.9110112e-05,-8.358061e-05,-1.4753081e-05,2.2918917e-05,6.663706e-05,7.048715e-05,2.0161271e-05,-2.015289e-05,-3.0731782e-05,6.0254708e-05,7.6899305e-06,7.3323026e-06,3.971625e-05,-0.00015099067,3.934838e-06,-5.934108e-05
3,-3.4971163e-06,1.1822209e-05,3.2832846e-05,1.1156313e-05,2.3975037e-05,-3.372319e-06,-2.7641654e-06,0.00010096654,-5.913619e-05,-9.3504786e-07,7.0548616e-05,7.31824e-05,2.7478673e-05,-3.5115518e-05,-6.719399e-05,-2.6657246e-05,-2.5953166e-05,-4.249718e-05,5.59194e-05,5.8972277e-05,6.732531e-06,6.433483e-05,6.3498504e-05
4,2.324779e-05,-4.78921e-06,-5.133124e-05,-6.355764e-05,-0.000120614306,-0.00013790943,-5.1761745e-05,1.0801479e-05,6.6937646e-05,3.22212e-05,2.7454924e-05,1.3905694e-05,-3.650866e-05,-8.289551e-05,-8.085428e-05,-6.614777e-05,4.182465e-05,-2.2590277e-05,-4.60241e-05,-4.5747845e-05,5.095848e-06,5.8495207e-06,-6.4414926e-06
5,-1.22804195e-05,-2.6182272e-05,5.148817e-05,-0.00012451317,-4.36157e-05,-5.1273964e-05,-1.5983358e-05,-2.708286e-06,-1.5264377e-06,-0.00012708548,-3.928598e-05,4.0386803e-05,-4.4237822e-06,-8.164905e-06,-6.39325e-05,-7.234793e-05,0.00011463929,1.3299286e-06,-9.50722e-05,-7.017236e-05,-2.1522865e-06,0.00010003615,-0.00010138936
6,-0.000103143975,-0.000110196415,-3.259629e-05,-0.0001352951,-3.430806e-05,-5.9118494e-05,-8.546747e-06,-1.7749611e-05,-0.00013873493,-7.528532e-05,-0.00015268754,-2.9729214e-05,-2.5546178e-06,-2.1729618e-05,1.4816411e-05,-7.531699e-05,5.512219e-05,-3.2389536e-05,-0.000117192976,-5.025696e-05,-3.7238467e-05,-1.8319115e-06,-9.596767e-05
7,-5.0491653e-05,-5.9567392e-05,-5.9175305e-05,-9.851996e-05,-3.528036e-05,-2.0568259e-05,-2.2538938e-05,-6.034039e-05,-4.810188e-05,-2.8249808e-05,9.601936e-07,-0.00013180915,-6.610155e-05,-4.4549815e-05,8.347165e-05,3.994722e-05,-0.00010638498,-6.147381e-05,-7.993821e-05,-0.00010496471,5.1780604e-05,-0.00019018445,-8.38032e-05
8,-3.4571625e-05,-1.1599623e-05,-4.79836e-05,-2.5669113e-05,-4.1769817e-05,-7.268321e-05,4.4465065e-05,6.108638e-05,-6.59097e-06,0.000114156865,2.0395964e-06,-5.063694e-05,-2.526585e-05,1.2260862e-05,6.215181e-05,2.5136396e-06,9.191036e-05,6.271619e-05,4.7851354e-06,-4.8836693e-05,-7.1477145e-05,7.4441545e-05,-7.749908e-05
9,-7.8510493e-07,3.740471e-05,3.224518e-05,7.56057e-05,2.2996217e-05,-3.711693e-05,2.5680289e-05,-7.9969876e-05,0.00021652691,0.00027807336,5.7176687e-05,-7.07563e-05,-8.893199e-06,-3.5134144e-05,-4.8958696e-05,8.186325e-06,-0.00021935813,-0.0001450926,4.0620565e-05,5.8775768e-06,5.8498234e-05,-8.940976e-05,0.00019019842
10,-2.5592744e-06,-3.7429854e-05,-1.7261133e-05,-3.6781654e-05,-3.117416e-05,-1.8143095e-05,-0.00016294792,-0.0001127515,-0.00016324781,-0.00013767183,-8.867122e-06,-8.1899576e-05,-4.7128648e-05,1.24480575e-05,6.3322484e-05,5.0962903e-05,-8.720718e-05,-3.686361e-05,-6.643124e-05,-2.2433698e-05,-0.000102587976,-0.00016403198,-0.00014456827
11,2.2877008e-05,-3.2410026e-07,-2.4516135e-05,-2.0120293e-05,1.9967556e-05,-8.426607e-06,-3.775768e-05,-0.00010434911,0.00021452457,0.00018140674,-1.301989e-06,-5.349517e-05,-4.6612695e-05,-4.84474e-05,-5.9716403e-05,-6.51218e-05,-0.00023727864,-0.00017336383,3.733486e-05,7.0780516e-07,2.6063994e-05,-0.00018600002,0.00026087463
12,9.9277124e-05,8.046068e-05,7.663481e-05,-1.6072765e-05,2.5846064e-05,6.457791e-05,9.656139e-05,5.2040443e-05,-4.887581e-06,3.7776306e-05,1.5439466e-05,0.00012985617,2.804026e-05,6.563775e-05,3.5600737e-05,2.894923e-05,0.00016112998,9.793043e-05,5.1315874e-05,8.687563e-05,1.649186e-05,0.00015173294,-9.847619e-05
13,3.2905256e-05,5.4492615e-05,4.3260166e-05,-2.5312183e-05,9.29134e-06,8.964213e-06,4.763156e-05,3.2953685e-05,5.5853976e-05,2.5297748e-05,-3.1537376e-05,0.00010487158,3.8697384e-05,9.572529e-05,-3.0306634e-05,-5.5949204e-07,7.353979e-05,2.9916642e-05,2.8129667e-05,3.398955e-05,-1.9613886e-05,9.1043534e-05,8.032424e-06
