,SRX10965462,SRX10965461,SRX10965460,SRX10965459,SRX10965458,SRX10965457,SRX10965436,SRX10965435,SRX10965434,SRX10965433,SRX10965432,SRX10965431,SRX10965430,SRX10965429,SRX10965428,SRX10965427,SRX10965426,SRX10965425,SRX10965424,SRX10965423,SRX10965422,SRX10965465,SRX10965464,SRX10965463,SRX12196740,SRX12196739,SRX12196738,SRX12196737,SRX12196736,SRX12196735,SRX12196734,SRX12196733,SRX12196732,SRX12196731,SRX12196720,SRX12196719,SRX12196718,SRX12196717,SRX12196716,SRX12196715,SRX12196714,SRX12196713,SRX12196712,SRX12196711,SRX12196700,SRX12196699,SRX12196698,SRX12196697,SRX12196696,SRX12196695,SRX12196694,SRX12196693,SRX12196692,SRX12196691,SRX311785,SRX311784,SRX311783,SRX311782,SRX311781,SRX311780,SRX971773,SRX971772,SRX971771,SRX971770,SRX160516,SRX160515,SRX160514
0,6.2286854e-05,0.00014959765,6.73905e-06,0.00011502346,6.5297354e-05,3.3045188e-05,7.7821314e-05,8.6931046e-05,4.5613386e-05,3.3755787e-05,-2.2400636e-05,4.3776352e-05,5.7879603e-05,-1.0988209e-05,6.6673383e-06,6.268383e-05,-5.0046947e-06,0.00019680103,2.5125919e-05,4.0581916e-05,6.0162973e-05,0.00013948139,0.0001310329,9.675557e-05,-5.0128438e-06,3.3348333e-06,1.1801021e-05,3.3839606e-06,4.3699984e-06,-1.0713469e-05,-2.4002045e-05,6.2561594e-07,-1.5199184e-06,-1.9821804e-05,-6.7797955e-06,-6.073364e-05,-4.903623e-05,3.698608e-05,-1.3288576e-05,6.7153014e-06,0.00011617085,9.047333e-06,1.4907913e-05,4.5970082e-06,-0.000117322896,-7.44625e-05,3.533787e-05,4.8081158e-05,-5.393615e-05,-9.605382e-05,-8.724071e-05,2.863817e-06,-5.9450977e-06,-8.007465e-05,-3.8775615e-06,7.484201e-05,-3.2173004e-05,-5.2807154e-05,-4.5859022e-05,8.0913305e-06,0.00010118331,0.00012255437,7.068273e-05,6.511179e-05,-1.0287389e-05,5.549076e-05,-3.153924e-06
1,1.2630131e-05,1.5361002e-05,1.9805273e-05,0.00014752941,5.7853293e-05,3.021909e-05,4.1396823e-05,6.094179e-05,-1.8377788e-05,-3.1661475e-05,9.4070565e-06,-2.0640902e-05,1.1460623e-05,-8.6799264e-07,4.1130465e-05,6.277696e-05,3.7313905e-05,9.3930634e-05,6.8023335e-05,5.1138923e-06,-2.394407e-05,6.441306e-05,-9.108568e-06,2.8609997e-05,-2.0934502e-05,9.0331305e-05,-1.2950972e-05,7.4693235e-05,0.0001339158,7.2301365e-05,1.7185695e-05,-2.0141248e-05,3.366056e-05,0.00012102793,4.2369124e-05,0.00011619134,-2.2335444e-06,9.1555994e-05,6.709527e-05,6.238022e-05,-4.3410575e-05,6.181025e-05,0.0001512221,0.00012922264,-4.7104433e-05,1.3185199e-05,4.826579e-07,1.9212253e-05,1.512235e-05,-4.220847e-05,-9.430153e-05,-9.416789e-05,9.909179e-05,3.3986522e-05,2.5982503e-05,4.6994537e-05,2.2222288e-05,2.7921284e-05,3.868132e-05,5.931128e-06,7.078634e-05,0.00014252611,0.0001308762,5.4066768e-05,1.7191749e-05,4.089717e-05,1.6218983e-05
2,-9.867828e-06,-5.7732686e-05,-5.1082578e-05,-4.1430816e-05,-9.622844e-05,-6.292062e-05,-9.475788e-05,-0.00013365597,6.2342733e-06,-0.0001253495,-0.00011547655,-6.650807e-05,-8.954853e-05,-1.594657e-05,-4.074024e-05,-3.064191e-05,-6.556325e-05,-9.6162315e-05,1.7439015e-06,1.9201543e-05,-6.652158e-05,-2.7450733e-06,4.1746534e-06,-1.3559125e-05,-5.133031e-05,-4.4823624e-05,-3.028009e-05,-1.3463665e-05,-8.5457694e-05,-8.634059e-05,-7.911958e-05,-9.95812e-05,-7.707439e-05,-9.552948e-05,-3.1064264e-05,-4.4979155e-05,-3.5546254e-05,-7.526204e-05,-4.168041e-05,5.220063e-06,-6.79777e-05,-4.6255067e-05,-6.950926e-05,-6.0366e-05,6.474648e-05,5.645957e-05,-1.8920284e-05,-0.000103278086,-2.2111926e-05,-2.431497e-05,-4.79538e-06,-9.572599e-05,4.0942803e-05,-2.291752e-05,-8.455571e-05,-6.199069e-05,-5.996367e-05,-0.00013222964,-9.4197225e-05,-3.0879397e-05,-4.3699984e-05,-8.987775e-05,5.3388067e-06,-3.0480325e-05,-8.691847e-05,-3.8463622e-05,-6.5326225e-05
3,-3.1087548e-06,-2.3729634e-05,-5.5057928e-05,4.632026e-05,-4.4643413e-05,4.748907e-05,4.2603817e-05,-3.7453137e-06,5.189795e-06,2.464652e-05,-5.7911035e-05,2.050586e-05,4.4625252e-05,1.4173798e-05,5.343044e-05,-3.5527628e-05,2.650544e-06,-2.1168962e-06,-1.7669983e-05,-2.1803658e-05,3.4070108e-05,5.984772e-05,-3.56175e-05,-3.2594893e-05,3.7745107e-05,-3.8194004e-05,-2.7633738e-05,-4.4051558e-07,-5.286932e-05,-3.980007e-06,-2.9764604e-05,-1.1291355e-05,7.2030816e-05,8.941488e-05,1.9391999e-05,3.6960933e-05,-3.333483e-05,-7.7793375e-06,-1.7599203e-05,-6.233575e-05,-5.314732e-05,-4.9203634e-05,-4.251022e-05,-5.2752905e-05,2.118107e-05,-1.7490238e-06,-2.7595088e-05,4.196074e-06,-2.3299828e-05,-4.1412655e-05,-1.5028752e-05,-8.041039e-06,-2.331473e-05,-6.869808e-05,-2.9450748e-05,3.2279175e-05,-1.9250438e-05,1.6226433e-05,-5.7309866e-05,-3.4788158e-05,5.0592702e-05,5.2958727e-05,1.1297874e-05,-1.6936101e-05,-4.5717694e-05,2.1847896e-05,-2.950523e-05
4,-3.933208e-06,-1.187087e-05,-2.570264e-05,8.287281e-05,-5.8381353e-05,-6.123539e-05,-5.9341546e-06,-3.8254773e-05,-6.1633764e-05,-5.1942654e-05,-5.3266296e-05,-5.3803436e-05,-9.4634015e-06,2.2053719e-05,-2.7470058e-05,-7.279846e-05,-9.4485e-06,1.2839679e-05,-3.5814708e-05,-5.1283278e-06,-7.3181e-05,-3.182795e-05,-3.3833086e-05,-6.749807e-05,-7.99126e-05,-1.0180986e-05,-3.0735275e-05,-2.3604138e-05,-7.7398494e-05,-3.970368e-05,-4.0969346e-05,-4.6015484e-05,-9.798235e-05,-6.108475e-05,-6.4682215e-05,-1.2787059e-05,-2.637296e-05,-7.401104e-05,1.7844373e-05,-2.5777146e-05,-5.6768768e-05,-2.632779e-05,-3.9041042e-06,4.378287e-05,-0.00012209686,-0.00010035536,-7.614866e-05,-0.00012534996,-9.316066e-05,-7.101626e-05,-3.8156053e-05,-0.00010133954,-6.78238e-05,-5.8536418e-05,-1.8950785e-05,-3.871927e-05,-1.3668323e-05,-5.2352436e-05,-0.00010595261,-1.531886e-05,-1.1877855e-05,-4.640408e-05,0.0001136472,2.1240208e-05,-2.6469817e-05,-3.4635654e-05,-6.4566266e-06
5,-0.000101773534,-4.731631e-05,-6.077811e-05,1.0202639e-05,-0.00010175817,-9.410968e-05,4.1409396e-05,-0.00012536021,-2.0463951e-05,-9.686733e-05,-0.00013500126,-9.368826e-05,-3.2936223e-05,-0.00011027977,-7.6726545e-05,-2.018921e-05,-3.966363e-05,-8.208258e-05,-7.2846655e-05,-4.251534e-05,-3.920216e-05,-4.597567e-05,-7.964205e-05,-4.5124907e-05,-7.0969574e-05,-3.2824e-05,-4.5662746e-05,-7.036142e-05,-9.092316e-05,-5.231658e-05,-5.2034855e-05,-6.8759546e-06,-7.427484e-05,-6.0027465e-05,-5.766051e-05,3.7811697e-07,-5.353149e-05,-2.2649765e-06,-1.344597e-05,-2.9369257e-06,1.195306e-05,9.382609e-06,-3.0781608e-05,-5.4460485e-05,-0.00010516867,-8.133636e-05,-0.000122013735,-8.5602514e-05,-9.832438e-05,-5.057035e-05,-0.00010246015,-0.00011357386,7.723179e-05,4.766509e-06,-1.4778692e-05,-4.2959582e-05,-6.192364e-06,-6.116275e-05,-2.2342429e-06,-6.339699e-05,1.6995706e-05,4.2761676e-06,-3.0290801e-05,-2.2088643e-05,-1.7724466e-05,-3.4930184e-05,-1.0598917e-05
6,4.758686e-05,-5.4837437e-05,-1.6425969e-05,5.019596e-06,-1.38683245e-05,-1.5699305e-05,-7.188949e-05,-7.8739366e-05,-5.710032e-05,-2.128724e-05,-3.8120663e-05,-2.7686125e-05,-6.2659616e-05,-1.63964e-05,9.496231e-06,-5.11189e-05,-3.1804433e-05,2.3903558e-05,1.66588e-05,-3.854232e-05,4.0925806e-05,3.0546682e-05,1.0522082e-05,-5.202042e-05,5.6396704e-05,-2.6529888e-05,-8.396455e-05,1.0935357e-05,-3.8355123e-05,-1.8171035e-05,-0.000101516955,-3.7777238e-05,-6.26212e-05,-1.597451e-06,1.7259503e-05,3.973022e-05,-9.636162e-06,-4.2485073e-05,1.2887642e-05,-4.4981018e-05,-9.459886e-05,-5.2697025e-05,-2.5490765e-05,3.800611e-05,-5.9119193e-05,-5.5931276e-05,-0.00017524441,-5.4429518e-05,-4.1676918e-05,-0.0001527851,-0.00011135591,-4.821387e-05,-0.00013454305,-8.75697e-05,-8.4714964e-05,-2.689287e-05,-3.351271e-05,-0.00011541229,1.0784483e-05,1.9485364e-05,-0.00010871305,-9.504566e-05,2.579391e-05,-8.636783e-05,-8.306955e-05,-1.8500257e-05,-4.0083425e-05
7,3.7152553e-05,8.21054e-06,4.4280896e-05,6.424007e-05,-1.9565457e-05,2.4995185e-05,8.269772e-05,-2.5813351e-05,3.739295e-05,7.687835e-06,-3.061944e-05,2.168538e-05,0.0001076106,7.1723596e-05,2.0059524e-05,2.2762688e-05,6.603007e-05,2.5377376e-05,7.0793554e-05,8.1712846e-05,-1.2093224e-06,-5.062879e-05,-3.1029107e-05,3.631669e-05,2.4421955e-05,5.3584925e-05,3.4992117e-06,0.00013098447,6.448082e-05,4.948373e-05,7.3520234e-05,2.2987835e-05,5.0109462e-05,8.808647e-05,8.7136636e-05,4.4277636e-05,3.1032134e-05,3.8478058e-05,6.506569e-05,5.4968987e-05,1.29388645e-05,5.1694922e-05,9.4546005e-05,9.066507e-05,0.000116233714,5.366234e-05,6.252527e-05,6.2156236e-05,3.097765e-05,9.625708e-05,3.923895e-05,0.00010826741,8.551497e-05,3.667071e-05,4.2028725e-05,-1.05449e-06,1.633272e-05,4.2405678e-05,7.060671e-05,8.917507e-05,1.5474972e-05,9.9604484e-05,5.2932417e-05,6.8824505e-05,5.3164084e-05,3.4013647e-05,1.7854618e-06
8,-1.7020851e-05,-5.6050834e-05,-2.8440496e-05,1.8531224e-05,1.9696774e-05,-6.541447e-05,4.3678796e-05,1.8504797e-05,1.8921914e-05,9.284553e-05,0.00012273004,2.0270934e-05,1.5654368e-05,5.1187817e-05,6.3097454e-05,-4.080124e-06,-4.2475876e-05,6.4560794e-05,4.0494604e-05,3.1674164e-05,1.80793e-06,1.8830411e-05,2.4445588e-05,3.4977682e-05,-3.1310366e-05,0.0001372241,4.359195e-05,7.49866e-05,6.1786035e-05,2.9503717e-05,9.670912e-05,-1.7970218e-05,2.7461909e-05,1.4846446e-06,0.000102953636,2.0290841e-05,6.3338084e-05,6.2499195e-05,8.7547e-05,3.742159e-05,-1.3266341e-05,1.209008e-05,7.804483e-07,0.00014993502,3.4643337e-05,6.877608e-05,2.4481793e-05,7.821119e-05,-6.562681e-06,2.4598907e-05,5.7355268e-05,1.003989e-05,2.5571091e-05,0.000114019844,5.603081e-05,2.0428211e-05,2.5986577e-05,8.745305e-05,0.00014878856,0.00012824312,4.9594324e-05,6.452168e-05,-2.2355234e-06,7.680152e-06,5.226524e-05,4.7446927e-05,2.933736e-05
9,-2.261158e-05,-2.1615997e-06,6.1030034e-05,-6.944826e-05,0.000105791725,2.9029325e-05,-7.6224096e-06,3.2633543e-05,4.5231543e-05,0.0001126728,3.159931e-05,1.1896715e-05,2.683606e-06,6.295275e-05,6.464729e-05,-2.8430484e-05,2.7143396e-06,1.4623161e-05,4.958408e-05,-3.7868973e-05,-1.4171004e-05,-3.6910642e-05,-2.3548491e-06,6.4274296e-05,7.33193e-05,3.058929e-05,-1.6493723e-05,4.2628497e-05,3.4682453e-06,-1.033023e-05,-3.9520673e-06,3.8865954e-05,2.4187379e-05,0.0001186952,1.6642269e-05,5.773129e-05,5.642511e-05,-2.8020702e-05,7.227622e-05,9.276578e-05,-4.5315828e-05,3.7952792e-05,7.768022e-05,9.670295e-05,0.00017371494,0.00014519366,3.218325e-05,-4.751142e-06,1.6376376e-05,4.3008942e-05,2.004439e-05,2.8205104e-05,6.5201893e-06,0.00010133209,-2.0623207e-05,-5.1926356e-05,3.9543957e-06,-6.55083e-05,2.7428381e-05,-7.714145e-06,-0.00016336516,4.4197775e-05,6.333459e-06,-1.0313932e-05,-1.4837831e-05,-2.4975743e-05,2.25869e-05
10,1.297472e-05,-1.9245315e-05,-3.3999793e-05,4.8978254e-06,3.519561e-05,3.4735538e-05,-1.8654391e-06,9.859726e-05,2.0545442e-05,-6.9223344e-05,1.7346349e-05,-3.8459897e-05,1.8770806e-06,-1.780549e-05,2.925098e-05,1.6680919e-05,-4.6333298e-05,8.918857e-05,-3.2866374e-06,2.28961e-05,3.703311e-05,-4.5770314e-05,1.6707461e-05,2.4131965e-05,2.5714282e-05,3.890507e-05,4.1652005e-05,6.968714e-05,0.00012211362,1.5469268e-05,1.3286248e-05,1.1285767e-05,2.994109e-05,7.213978e-05,8.3073974e-07,3.9220322e-05,9.6062664e-05,3.7765596e-05,2.0968728e-06,-1.2529548e-05,5.962001e-05,4.7395937e-05,-5.543232e-06,1.1625234e-05,-6.709574e-05,1.2070872e-05,2.1234155e-07,3.457209e-05,9.252457e-05,6.589573e-05,6.3967425e-05,6.1165076e-05,-1.011882e-05,4.379032e-05,6.80401e-05,-4.277099e-06,9.568408e-06,6.256718e-05,2.5263056e-05,-4.908722e-05,-3.6982354e-05,4.3704174e-05,1.8253922e-05,1.8999912e-05,6.720703e-05,-6.057322e-06,-4.175119e-06
